article,chemical,count,dbName,dbId
PMC4097962,"acetyl",10,,46887
PMC4097962,"perillyl alcohol",10,,15420
PMC4097962,"methyl",10,,32875
PMC4097962,"Isoprene",9,,35194
PMC4097962,"myrcene",9,,17221
PMC4097962,"carveol",9,,23046
PMC4097962,"lactone",9,,25000
PMC4097962,"citronellol",7,,50462
PMC4097962,"Limonene 1,2-diol",7,,17219
PMC4097962,"carvone",7,,38265
PMC4097962,"p-cumate",7,,25822
PMC4097962,"hydrocarbons",6,,24632
PMC4097962,"molecular oxygen",6,,15379
PMC4097962,"(+)-linalool",5,,98
PMC4097962,"Acetate",5,,47622
PMC4097962,"(+)-camphor",4,,15396
PMC4097962,"camphor",4,,36773
PMC4097962,"Geranial",4,,16980
PMC4097962,"p-cumic alcohol",4,,27628
PMC4097962,"2,3-dihydroxy-p-cumate",4,,36647
PMC4097962,"carboxy",4,,46883
PMC4097962,"2-hydroxy-6-oxo-7-methylocta-2,4-dienoate",4,,79380
PMC4097962,"Acetaldehyde",4,,43923
PMC4097962,"isopropenyl",4,,30354
PMC4097962,"monoterpenoids",3,,25409
PMC4097962,"dimethyl",3,,42266
PMC4097962,"Diphosphate",3,,33019
PMC4097962,"Cis-2,3-dihydroxy-2,3-dihydro-p-cumate",3,,58420
PMC4097962,"2-hydroxypenta-2,4-dienoate",3,,37319
PMC4097962,"citronellal",3,,47856
PMC4097962,"thioester",3,,51277
PMC4097962,"pinocarveol",3,,26137
PMC4097962,"toluene",3,,17578
PMC4097962,"perillic acid",3,,36999
PMC4097962,"carbon dioxide",2,,16526
PMC4097962,"methane",2,,16183
PMC4097962,"terpenes",2,,35186
PMC4097962,"alcohols",2,,30879
PMC4097962,"esters",2,,35701
PMC4097962,"propan-2-yl",2,,30353
PMC4097962,"oxepan-2-one",2,,17915
PMC4097962,"heptanoate",2,,32362
PMC4097962,"Geranic acid",2,,67264
PMC4097962,"p-cumic aldehyde",2,,28671
PMC4097962,"Isobutyrate",2,,48944
PMC4097962,"pentanoate",2,,31011
PMC4097962,"Pyruvate",2,,15361
PMC4097962,"citronellate",2,,80507
PMC4097962,"Bicarbonate",2,,17544
PMC4097962,"2,5-diketocamphane",2,,36775
PMC4097962,"glucose",2,,42758
PMC4097962,"6-oxocineole",2,,16123
PMC4097962,"ketone",2,,17087
PMC4097962,"diol",2,,8387
PMC4097962,"(+)-limonene",2,,15382
PMC4097962,"tertiary alcohol",2,,26878
PMC4097962,"terpenoid",2,,26873
PMC4097962,"organic compounds",1,,50860
PMC4097962,"sesquiterpenes",1,,35189
PMC4097962,"isoprenoids",1,,24913
PMC4097962,"ozone",1,,25812
PMC4097962,"hydroxyl radicals",1,,29191
PMC4097962,"chlorine atoms",1,,23116
PMC4097962,"carbonyls",1,,23019
PMC4097962,"halogenated hydrocarbons",1,,24472
PMC4097962,"peroxynitrates",1,,29270
PMC4097962,"lipids",1,,18059
PMC4097962,"nitrate",1,,48107
PMC4097962,"5-hydroxycamphor",1,,20570
PMC4097962,"protein",1,,16541
PMC4097962,"methylidene",1,,29358
PMC4097962,"hept-2-enal",1,,61724
PMC4097962,"menthone",1,,36503
PMC4097962,"epoxy",1,,30721
PMC4097962,"(+)-dihydrocarvone",1,,154
PMC4097962,"(+)-trans-carveol",1,,15388
PMC4097962,"(+)-carvone",1,,15399
PMC4097962,"1,2-epoxy-p-menth-8-ene",1,,16431
PMC4097962,"p-cumic acid",1,,28122
PMC4097962,"penta-2,4-dienoate",1,,37322
PMC4097962,"(-)-camphor",1,,15397
PMC4097962,"(+)-5-oxo-1,2-campholide",1,,66896
PMC4097962,"5-oxo-1,2-campholide",1,,66953
PMC4097962,"pyran",1,,35594
PMC4097962,"5-exo-hydroxycamphor",1,,15398
PMC4097962,"diketone",1,,46640
PMC4097962,"acetic acid",1,,15366
PMC4097962,"nitrogen",1,,25555
PMC4097962,"lactone ring",1,,52938
PMC4097962,"4,5-dihydrofuran",1,,51662
PMC4097962,"limonene-1,2-epoxide",1,,35672
PMC4097962,"dihydrocarvone",1,,23733
PMC4097962,"oxygen atom",1,,29194
PMC4097962,"perillyl aldehyde",1,,15421
PMC4097962,"ether",1,,35702
PMC4097962,"carboxylic acid",1,,33575
PMC4097962,"citrate",1,,50744
PMC4097962,"enone",1,,51689
PMC4097962,"octyl",1,,25657
PMC4097962,"nerol",1,,29452
PMC4097962,"enoyl",1,,23916
PMC4097962,"molybdenum",1,,49446
PMC4097962,"primary alcohol",1,,15734
PMC4097962,"copper",1,,30052
PMC4097962,"organic molecules",1,,72695
PMC4097962,"diterpene",1,,35190
PMC4097962,"3-carene",1,,35661
PMC4097962,"cyclic compounds",1,,33595
PMC4097962,"lignin",1,,6457
PMC4115348,"mefenamic acid",15,,6717
PMC4115348,"calcium",5,,29320
PMC4115348,"starch",2,,28017
PMC4115348,"prostanoids",2,,26347
PMC4115348,"tannin",2,,26848
PMC4115348,"prostaglandins",1,,26333
PMC4115348,"chamomile",1,,18388
PMC4115348,"carveol",1,,23046
PMC4115348,"d-Carvone",1,,15399
PMC4115348,"dihydrocarvone",1,,23733
PMC4115348,"limonene",1,,15384
PMC4115348,"carvacrol",1,,3440
PMC4115348,"thymol",1,,27607
PMC4115348,"acetylcholine",1,,15355
PMC4156257,"alkene",9,,32878
PMC4156257,"tetrafluoroborates",8,,38899
PMC4156257,"1,3-butadiene",7,,39478
PMC4156257,"phenylboronic acid",6,,44923
PMC4156257,"salts",4,,26710
PMC4156257,"Phenyl",4,,30396
PMC4156257,"Palladium",3,,33363
PMC4156257,"triflates",3,,48547
PMC4156257,"boronic acids",3,,38269
PMC4156257,"phenyldiazonium",3,,64466
PMC4156257,"boronic acid",3,,38267
PMC4156257,"aryl groups",2,,33338
PMC4156257,"allyl",2,,30361
PMC4156257,"1,4-dioxane",2,,47032
PMC4156257,"dodecane",2,,28817
PMC4156257,"1-butene",2,,48362
PMC4156257,"trifluoromethyl",2,,50127
PMC4156257,"allenes",1,,37602
PMC4156257,"carbon",1,,33415
PMC4156257,"hydride",1,,29239
PMC4156257,"dimethylacetamide",1,,84254
PMC4156257,"methanol",1,,44520
PMC4156257,"alcohols",1,,30879
PMC4156257,"4-nitrophenyldiazonium",1,,64469
PMC4156257,"methylphenyl ether",1,,16579
PMC4156257,"phenylacetamide",1,,16562
PMC4156257,"fluoro",1,,42645
PMC4156257,"nitro",1,,29785
PMC4156257,"a ketone",1,,17087
PMC4156257,"aryl bromide",1,,37148
PMC4156257,"aryl iodide",1,,50891
PMC4156257,"ortho-tolyl group",1,,52554
PMC4156257,"phosphines",1,,35883
PMC4156257,"phosphoramidites",1,,59751
PMC4156257,"carbenes",1,,51363
PMC4156257,"amines",1,,32952
PMC4156257,"carvone",1,,38265
PMC4156257,"phellandrene",1,,50034
PMC4156257,"1,2-dichloroethane",1,,27789
PMC4157029,"Diazinon",49,,34682
PMC4157029,"Chlorpyrifos",31,,34631
PMC4157029,"organophosphates",6,,37592
PMC4157029,"organophosphorus pesticides",3,,39093
PMC4157029,"water",2,,15377
PMC4157029,"Sodium chloride",2,,26710
PMC4157029,"Carvon",2,,38265
PMC4157029,"thymol",2,,27607
PMC4157029,"carvacrol",2,,3440
PMC4157029,"Helium",2,,33681
PMC4157029,"malathion",2,,6651
PMC4157029,"profenofos",2,,38845
PMC4157029,"chlordane",2,,34623
PMC4157029,"dieldrin",2,,34696
PMC4157029,"lindane",2,,32888
PMC4157029,"endosulfan",2,,4791
PMC4157029,"acetyl",1,,46887
PMC4157029,"acetylcholine",1,,15355
PMC4157029,"calcium",1,,29320
PMC4157029,"methanol",1,,44520
PMC4157029,"sodium hydroxide",1,,32145
PMC4157029,"hydrochloric acid",1,,17883
PMC4157029,"polydimethylsiloxane",1,,61468
PMC4157029,"sodium bicarbonate",1,,32139
PMC4157029,"limonene",1,,15384
PMC4157029,"bicarbonate",1,,17544
PMC4157029,"sodium",1,,29101
PMC4157029,"anthraquinones",1,,22580
PMC4157029,"sennosides",1,,84154
PMC4157029,"mucilage",1,,74969
PMC4157029,"Hydrogen",1,,49637
PMC4157029,"dimethoate",1,,34714
PMC4157029,"chamomile",1,,18388
PMC4157029,"Aldrin",1,,2564
PMC4157029,"parathion",1,,27928
PMC4157029,"organochlorine pesticide",1,,38656
PMC4157029,"tetradifon",1,,39330
PMC4157029,"chlorothalonil",1,,3639
PMC4157029,"tecnazene",1,,82044
PMC4161876,"Ca2+",16,,29108
PMC4161876,"carvone",11,,38265
PMC4161876,"proteins",10,,16541
PMC4161876,"oligonucleotides",3,,7754
PMC4161876,"decanoic acid",2,,30813
PMC4161876,"menthone",2,,36503
PMC4161876,"eugenol",2,,4917
PMC4161876,"(-)-carvone",2,,15400
PMC4161876,"(+)-carvone",2,,15399
PMC4161876,"nonanoic acid",2,,29019
PMC4161876,"propionic acid",2,,30768
PMC4161876,"delta",2,,36375
PMC4161876,"dopamine",1,,59905
PMC4161876,"zinc",1,,30185
PMC4161876,"cyclic nucleotide",1,,23447
PMC4161876,"monoterpene",1,,35187
PMC4161876,"butyl",1,,41264
PMC4161876,"water",1,,15377
PMC4161876,"biotin",1,,57586
PMC4161876,"dextrose",1,,42758
PMC4161876,"nitrocellulose",1,,53325
PMC4161876,"paraformaldehyde",1,,61538
PMC4161876,"Alexa Fluor-488",1,,52661
PMC4161876,"Calcium",1,,29320
PMC4161876,"Pluronic",1,,53514
PMC4161876,"geraniol",1,,17447
PMC4161876,"acetophenone",1,,27632
PMC4161876,"benzyl alcohol",1,,17987
PMC4161876,"heptanoic acid",1,,45571
PMC4161876,"Lipid",1,,18059
PMC4202545,"Phenobarbital",7,,8069
PMC4202545,"Flavonoids",5,,72544
PMC4202545,"Pentylenetetrazol",4,,34910
PMC4202545,"carvon",2,,38265
PMC4202545,"linalool",2,,17580
PMC4202545,"water",2,,15377
PMC4202545,"monoterpenes",2,,35187
PMC4202545,"d- limonene",1,,15382
PMC4202545,"pinene",1,,17187
PMC4202545,"ethanol",1,,44730
PMC4202545,"limonene",1,,15384
PMC4202545,"methyl",1,,32875
PMC4202545,"aspartate",1,,72314
PMC4202545,"calcium",1,,29320
PMC4204956,"geranial",7,,16980
PMC4204956,"neral",7,,29020
PMC4204956,"carvone",7,,38265
PMC4204956,"limonene",6,,15384
PMC4204956,"homoserine lactones",5,,58093
PMC4204956,"caryophyllene",4,,10357
PMC4204956,"geraniol",3,,17447
PMC4204956,"Linalool",3,,17580
PMC4204956,"protein",2,,16541
PMC4204956,"piperitenone",2,,17304
PMC4204956,"citral",2,,23316
PMC4204956,"monoterpenes",2,,35187
PMC4204956,"lactones",1,,25000
PMC4204956,"peptide antibiotics",1,,25903
PMC4204956,"oligopeptides",1,,25676
PMC4204956,"ursolic acid",1,,9908
PMC4204956,"naringenin",1,,50202
PMC4204956,"cinnamaldehyde",1,,16731
PMC4204956,"salicylic acid",1,,16914
PMC4204956,"methyl eugenol",1,,4918
PMC4204956,"glycerol",1,,17754
PMC4204956,"aluminum",1,,49470
PMC4204956,"1-butanol",1,,28885
PMC4204956,"water",1,,15377
PMC4204956,"phenyl",1,,30396
PMC4204956,"Helium",1,,33681
PMC4204956,"6-Methyl-5-hepten-2-one",1,,16310
PMC4204956,"1041",1,,31050
PMC4204956,"Piperitone",1,,48933
PMC4204956,"Geranyl acetate",1,,5331
PMC4204956,"Farnesene",1,,39237
PMC4204956,"chamomile",1,,18388
PMC4204956,"ketones",1,,17087
PMC4204956,"myrcene",1,,17221
PMC4204956,"camphor",1,,36773
PMC4204956,"cineole",1,,27961
PMC4204956,"estragole",1,,4867
PMC4204956,"sesquiterpenes",1,,35189
PMC4204956,"oxygen",1,,25805
PMC4204956,"aldehydes",1,,17478
PMC4204956,"alcohols",1,,30879
PMC4206695,"nitrene",13,,29339
PMC4206695,"alkyl chloride",12,,23128
PMC4206695,"carbamate",8,,5015
PMC4206695,"Isothiocyanate",4,,52221
PMC4206695,"vinyl group",4,,37603
PMC4206695,"chloride",4,,17996
