article,gene_protein,count,dbName,dbId
PMC4161876,"OR2AK2",2,,
PMC4161876,"TASR",2,,
PMC4161876,"S10",2,,
PMC4161876,"HTS",2,,
PMC4161876,"OR2J3",2,,
PMC4161876,"DPI",1,,
PMC4161876,"TPM 1",1,,
PMC4161876,"TMP",1,,
PMC4161876,"CTX",1,,
PMC4161876,"S4c",1,,
PMC4161876,"OR7A5",1,,
PMC4161876,"OR8G5",1,,
PMC4161876,"OR52K2",1,,
PMC4161876,"OR9A2",1,,
PMC4161876,"OR9A4",1,,
PMC4161876,"G proteins",1,,
PMC4161876,"OR2W3",1,,
PMC4161876,"Mef2a",1,,
PMC4161876,"EBF1",1,,
PMC4161876,"SOX",1,,
PMC4161876,"crispa",1,,
PMC4161876,"dopamine receptor 1",1,,
PMC4161876,"cys-3",1,,
PMC4161876,"SPF",1,,
PMC4161876,"P10",1,,
PMC4161876,"ubc",1,,
PMC4161876,"Tris",1,,
PMC4161876,"Rhodopsin",1,,
PMC4161876,"peroxidase",1,,
PMC4161876,"BSA",1,,
PMC4161876,"Papain",1,,
PMC4161876,"trypsin inhibitor",1,,
PMC4161876,"RNase",1,,
PMC4161876,"DNase",1,,
PMC4161876,"Reverse Transcriptase",1,,
PMC4161876,"OR52L1",1,,
PMC4161876,"OR2T33",1,,
PMC4161876,"OR11H1",1,,
PMC4161876,"OR2D2",1,,
PMC4161876,"OR4F4",1,,
PMC4161876,"TAS2R4",1,,
PMC4161876,"TAS2R5",1,,
PMC4161876,"TAS2R10",1,,
PMC4161876,"TAS2R13",1,,
PMC4161876,"TAS2R14",1,,
PMC4161876,"TAS2R50",1,,
PMC4161876,"GUSB",1,,
PMC4161876,"XPNPEP1",1,,
PMC4161876,"prolyl aminopeptidase 1",1,,
PMC4161876,"AARS",1,,
PMC4161876,"alanyl-tRNA synthetase",1,,
PMC4161876,"DRA",1,,
PMC4202545,"AGS",20,,
PMC4202545,"myo",6,,
PMC4202545,"cramps",1,,
PMC4202545,"Asl",1,,
PMC4202545,"glutamate receptors",1,,
PMC4204956,"alba",32,,
PMC4204956,"AHLs",9,,
PMC4204956,"HSL",5,,
PMC4204956,"pez",2,,
PMC4204956,"LuxI",1,,
PMC4204956,"LuxR",1,,
PMC4204956,"Bol",1,,
PMC4204956,"C12",1,,
PMC4209970,"ACP",42,,
PMC4209970,"ISCA",2,,
PMC4209970,"CAS",2,,
PMC4209970,"RP4",1,,
PMC4209970,"RP6",1,,
PMC4220615,"p53",20,,
PMC4220615,"HCT",12,,
PMC4220615,"Hep",10,,
PMC4220615,"B16",8,,
PMC4220615,"DLD",8,,
PMC4220615,"F10",7,,
PMC4220615,"MOLT",6,,
PMC4220615,"caspase 3",6,,
PMC4220615,"TRPM8",5,,
PMC4220615,"glutathione-S-transferase",5,,
PMC4220615,"HMG-CoA reductase",5,,
PMC4220615,"GST",5,,
PMC4220615,"bcr",5,,
PMC4220615,"abl",5,,
PMC4220615,"caspase",4,,
PMC4220615,"Akt",4,,
PMC4220615,"ATPase",4,,
PMC4220615,"Bel",4,,
PMC4220615,"STAT3",3,,
PMC4220615,"MUC4",3,,
PMC4220615,"c-myc",3,,
PMC4220615,"AP-1",3,,
PMC4220615,"Yin",2,,
PMC4220615,"ras",2,,
PMC4220615,"3,6",2,,
PMC4220615,"CHEK1",2,,
PMC4220615,"signal transducer and activator of transcription 3",2,,
PMC4220615,"ERK",2,,
PMC4220615,"JNK",2,,
PMC4220615,"caspase 8",2,,
PMC4220615,"SP-1",2,,
PMC4220615,"PTEN",2,,
PMC4220615,"serum albumin",2,,
PMC4220615,"PPAR",2,,
PMC4220615,"HDAC2",2,,
PMC4220615,"PGGT",2,,
PMC4220615,"en-1",2,,
PMC4220615,"Bak",2,,
PMC4220615,"Ren",2,,
PMC4220615,"TPA",2,,
PMC4220615,"AGS",2,,
PMC4220615,"cyclin",2,,
PMC4220615,"UDPGT",2,,
PMC4220615,"HTB",2,,
PMC4220615,"ppm",2,,
PMC4220615,"Bcl-2",1,,
PMC4220615,"caspase 9",1,,
PMC4220615,"XIAP",1,,
PMC4220615,"Cyclin D1",1,,
PMC4220615,"hydroxyprostaglandin dehydrogenase",1,,
PMC4220615,"GSK-3",1,,
PMC4220615,"P38",1,,
PMC4220615,"Das",1,,
PMC4220615,"P21ras",1,,
PMC4220615,"YY1",1,,
PMC4220615,"K-Ras",1,,
PMC4220615,"bax",1,,
PMC4220615,"p21",1,,
PMC4220615,"Cha",1,,
PMC4220615,"HMGCR",1,,
PMC4220615,"ND 1",1,,
PMC4220615,"HSC3",1,,
PMC4220615,"HOS",1,,
PMC4220615,"GFP",1,,
PMC4220615,"Androgen receptor",1,,
PMC4220615,"B1 protein",1,,
PMC4220615,"PDE1A",1,,
PMC4220615,"small G proteins",1,,
PMC4220615,"NMU",1,,
PMC4220615,"PANC",1,,
PMC4220615,"SCK",1,,
PMC4220615,"prenyltransferases",1,,
PMC4220615,"activator protein 1",1,,
PMC4220615,"thymidylate synthase",1,,
PMC4220615,"thymidine kinase",1,,
PMC4220615,"RhoA",1,,
PMC4220615,"nuclear factor erythroid 2-related factor-2",1,,
PMC4220615,"Nrf2",1,,
PMC4220615,"THP",1,,
PMC4220615,"Molt",1,,
PMC4224956,"vas",3,,
PMC4224956,"GnRH",3,,
PMC4224956,"CRL",2,,
PMC4224956,"RIA",1,,
PMC4232691,"PGT",143,,
PMC4232691,"MEP",18,,
PMC4232691,"YFP",17,,
PMC4232691,"GPP",11,,
PMC4232691,"FPP",10,,
PMC4232691,"TPS",9,,
PMC4232691,"IPP",9,,
PMC4232691,"GST",9,,
PMC4232691,"sesquiterpene synthases",6,,
PMC4232691,"terpene synthases",6,,
PMC4232691,"DXS",6,,
PMC4232691,"CFP",6,,
PMC4232691,"HMGR",5,,
PMC4232691,"IPPI",4,,
PMC4232691,"cytochrome P450",3,,
PMC4232691,"DXR",3,,
PMC4232691,"MCT",3,,
PMC4232691,"carveol dehydrogenase",3,,
PMC4232691,"copalyl diphosphate synthase",3,,
PMC4232691,"lipid transfer proteins",2,,
PMC4232691,"invertases",2,,
PMC4232691,"GPT",2,,
PMC4232691,"NTT",2,,
PMC4232691,"1-deoxy-D-xylulose-5-phosphate synthase",2,,
PMC4232691,"DXP reductoisomerase",2,,
PMC4232691,"CMK",2,,
PMC4232691,"erythritol kinase",2,,
PMC4232691,"MCS",2,,
PMC4232691,"HDS",2,,
PMC4232691,"HDR",2,,
PMC4232691,"cis muuroladiene synthase",2,,
PMC4232691,"3-Hydroxy-3-Methylglutaryl Coenzyme A Reductase",2,,
PMC4232691,"lipoxygenases",2,,
PMC4232691,"LOXs",2,,
PMC4232691,"CYP74",2,,
PMC4232691,"allene oxide synthase",2,,
PMC4232691,"AtHMGR1",2,,
PMC4232691,"germacrene A synthase",2,,
PMC4232691,"N50",1,,
PMC4232691,"MYBs",1,,
PMC4232691,"sucrose synthase",1,,
PMC4232691,"IPP isomerase",1,,
PMC4232691,"limonene-3-hydroxylase",1,,
PMC4232691,"(+)-pulegone reductase",1,,
PMC4232691,"farnesyl diphosphate synthase",1,,
PMC4232691,"FPP synthase",1,,
PMC4232691,"bicyclogermacrene synthase",1,,
PMC4232691,"phenylalanine ammonia lyase",1,,
PMC4232691,"4-coumarate CoA-ligase",1,,
PMC4232691,"pectin methylesterase inhibitors",1,,
PMC4232691,"lipases",1,,
PMC4232691,"BL21",1,,
PMC4232691,"Tris",1,,
PMC4232691,"protease inhibitors",1,,
PMC4232691,"TPS2",1,,
PMC4232691,"germacrene C synthase",1,,
PMC4232691,"(+)-limonene synthase 1",1,,
PMC4232691,"terpene synthase 1",1,,
PMC4232691,"copalyl diphosphate synthase 1",1,,
PMC4232691,"selinene synthase",1,,
PMC4232691,"myrcene synthase",1,,
PMC4232691,"germacrene A synthase short form",1,,
PMC4232691,"germacrene D synthase",1,,
PMC4232691,"QHS1",1,,
PMC4232691,"amorpha-4,11-diene synthase",1,,
PMC4232691,"ent-kaurene synthase",1,,
PMC4232691,"GA2",1,,
PMC4232691,"NHC",1,,
PMC4242925,"Sil",2,,
PMC4242925,"C20",1,,
PMC4293675,"14R",7,,
PMC4293675,"13R",6,,
PMC4293675,"Rb1",3,,
PMC4293675,"Rh2",2,,
PMC4293675,"esterase",1,,
PMC4293675,"Rh1",1,,
PMC4293675,"XVII",1,,
PMC4309438,"OBPs",18,,
PMC4309438,"COBP",12,,
PMC4309438,"OSC",11,,
PMC4309438,"IDS",10,,
PMC4309438,"odorant binding protein",5,,
PMC4309438,"C14",3,,
PMC4309438,"CPC",3,,
PMC4309438,"protein P",1,,
PMC4309438,"BL21",1,,
PMC4309438,"Tris",1,,
PMC4309438,"OBP1",1,,
PMC4309438,"Nat",1,,
PMC4311404,"CH2",1,,
PMC4311404,"tri",1,,
PMC4311404,"L10",1,,
PMC4311427,"OBPs",35,,
PMC4311427,"olfactory proteins",13,,
PMC4311427,"CSPs",7,,
PMC4311427,"PMI",2,,
PMC4311427,"hog",1,,
PMC4311427,"odorant-binding proteins",1,,
PMC4311427,"membrane proteins",1,,
PMC4311427,"Top 2",1,,
PMC4311427,"top 3",1,,
PMC4311427,"NEB",1,,
PMC4311427,"RPL8",1,,
PMC4311427,"SC1",1,,
PMC4311427,"SC2",1,,
PMC4311427,"SC3",1,,
PMC4311427,"SD2",1,,
PMC4311427,"S11",1,,
PMC4311427,"S12",1,,
PMC4311427,"S13",1,,
PMC4311427,"S10",1,,
PMC4311427,"S14",1,,
PMC4311427,"S15",1,,
PMC4311427,"S16",1,,
PMC4311427,"SRA",1,,
PMC4319901,"SET1",20,,
PMC4319901,"SET2",17,,
PMC4319901,"SET3",13,,
PMC4319901,"TEF",5,,
PMC4319901,"tert",2,,
PMC4319901,"tris",1,,
PMC4319901,"Sac",1,,
PMC4319901,"C12",1,,
PMC4322175,"HDE",40,,
PMC4322175,"lectins",16,,
PMC4322175,"PNA",9,,
PMC4322175,"CRL",6,,
PMC4322175,"agglutinin",3,,
PMC4322175,"RER",2,,
PMC4322175,"peroxidase",2,,
PMC4322175,"trypsin",1,,
PMC4322175,"UEA-I",1,,
PMC4322175,"ZP1",1,,
PMC4322175,"ZP2",1,,
PMC4322175,"ZP3",1,,
PMC4327056,"MOS",26,,
PMC4327056,"PEN2",17,,
PMC4327056,"PEN3",9,,
PMC4327056,"C20",2,,
PMC4327056,"brix",2,,
PMC4327056,"PC1",2,,
PMC4327056,"LDA",2,,
PMC4327056,"lipoxygenase",1,,
PMC4327056,"IPP",1,,
PMC4327056,"MEP",1,,
PMC4327056,"C15",1,,
PMC4327056,"C16",1,,
PMC4327056,"sacs",1,,
PMC4327056,"Bai",1,,
PMC4327056,"PLS",1,,
PMC4327056,"MLR",1,,
PMC4327056,"junos",1,,
PMC4327056,"ssp",1,,
PMC4327056,"MOS 3",1,,
PMC4327056,"CP 14",1,,
PMC4327928,"OYE1",51,,
PMC4327928,"FMN",14,,
PMC4327928,"HBA",12,,
PMC4327928,"APS",4,,
PMC4327928,"CALB",3,,
PMC4327928,"NADPH-dependent oxidoreductase",1,,
PMC4327928,"lipase B",1,,
PMC4327928,"12-oxophytodienoate reductase 3",1,,
PMC4327928,"OPR3",1,,
PMC4327928,"P21",1,,
PMC4327928,"deg",1,,
PMC4339706,"gtfC",11,,
PMC4339706,"gtfB",10,,
PMC4339706,"gtfD",10,,
PMC4339706,"gbpB",10,,
PMC4339706,"spaP",9,,
PMC4339706,"brpA",8,,
PMC4339706,"vicR",7,,
PMC4339706,"SPB",4,,
PMC4339706,"MSA",1,,
PMC4339706,"BRL",1,,
PMC4339706,"GBP",1,,
PMC4339706,"Glucosyltransferase-I",1,,
PMC4339706,"Glucosyltransferase-S",1,,
PMC4339706,"Biofilm regulatory protein A",1,,
PMC4339706,"Cell surface antigen",1,,
PMC4339706,"GTP pyrophosphokinase",1,,
PMC4344607,"MEP",12,,
PMC4344607,"HMGR",9,,
PMC4344607,"terpene synthases",8,,
PMC4344607,"HMGS",7,,
PMC4344607,"gibberellin 2-oxidase",5,,
PMC4344607,"TPS",4,,
PMC4344607,"vanadium-dependent bromoperoxidases",4,,
PMC4344607,"carveol dehydrogenase",4,,
PMC4344607,"(+)-pulegone reductase",4,,
PMC4344607,"secologanin synthase",4,,
PMC4344607,"lupeol synthase 1",4,,
PMC4344607,"5-epiaristolochene 1,3-dihydroxylase",4,,
PMC4344607,"abietadienol/abietadienal oxidase",4,,
PMC4344607,"IPP",4,,
PMC4344607,"farnesyl-diphosphate farnesyltransferase",3,,
PMC4344607,"squalene monooxygenase",3,,
PMC4344607,"tetraprenyl-beta-curcumene cyclase",3,,
PMC4344607,"alpha-bisabolene synthase",3,,
PMC4344607,"germacrene-A synthase",3,,
PMC4344607,"germacrene A oxidase",3,,
PMC4344607,"aristolochene synthase",3,,
PMC4344607,"pentalenene synthase",3,,
PMC4344607,"(+)-delta-cadinene synthase",3,,
PMC4344607,"zerumbone synthase",3,,
PMC4344607,"C20",3,,
PMC4344607,"acetyltransferase",2,,
PMC4344607,"mevalonate kinase",2,,
PMC4344607,"CoA synthase",2,,
PMC4344607,"C15",2,,
PMC4344607,"Monoterpene Synthase",2,,
PMC4344607,"tri",1,,
PMC4344607,"prenyl transferases",1,,
PMC4344607,"HMG-CoA reductase",1,,
PMC4344607,"Sesquiterpene Synthase",1,,
PMC4344607,"Diterpene Synthase",1,,
PMC4344607,"cytochrome P450",1,,
PMC4344607,"Esp",1,,
PMC4344607,"ren",1,,
PMC4344607,"nuclease",1,,
PMC4346696,"alba",3,,
PMC4346696,"ADM",2,,
PMC4346696,"superoxide dismutase",1,,
PMC4346696,"hemoglobin",1,,
PMC4346696,"IFN",1,,
PMC4346696,"IL-15",1,,
PMC4346696,"dpi",1,,
PMC4346696,"Plus",1,,
PMC4346696,"Stim",1,,
PMC4353025,"C14",8,,
PMC4353025,"mineralocorticoid receptor",4,,
PMC4353025,"glucocorticoid receptor",4,,
PMC4353025,"C20",3,,
PMC4353025,"C16",3,,
PMC4353025,"NMR",2,,
PMC4353025,"C15",2,,
PMC4353025,"IL-12B",2,,
PMC4353025,"ATPase",1,,
PMC4353025,"A15",1,,
PMC4353025,"DMP",1,,
PMC4353025,"NIS",1,,
PMC4353025,"acac",1,,
PMC4353025,"LPS",1,,
PMC4353025,"TFA",1,,
PMC4355985,"MP2",12,,
PMC4355985,"Avil",6,,
PMC4355985,"H11",6,,
PMC4355985,"NMR",4,,
PMC4355985,"EQ1",4,,
PMC4355985,"lat",2,,
PMC4355985,"plus",1,,
PMC4356138,"valencene synthase",12,,
PMC4356138,"IPP",8,,
PMC4356138,"citrate synthase",5,,
PMC4356138,"superoxide dismutase",4,,
PMC4356138,"pyruvate decarboxylase",4,,
PMC4356138,"malate dehydrogenase",4,,
PMC4356138,"Glutamate decarboxylase",4,,
PMC4356138,"peroxidase",4,,
PMC4356138,"MEP",4,,
PMC4356138,"phospholipase D",3,,
PMC4356138,"sucrose synthase",3,,
PMC4356138,"lipoxygenase",3,,
PMC4356138,"FPP",3,,
PMC4356138,"GGPP",3,,
PMC4356138,"sacs",2,,
PMC4356138,"PEP carboxykinase",2,,
PMC4356138,"phosphofructokinase",2,,
PMC4356138,"RNA-binding protein",2,,
PMC4356138,"glutathione peroxidase",2,,
PMC4356138,"NADH",2,,
PMC4356138,"monodehydroascorbate reductase",2,,
PMC4356138,"PLD",2,,
PMC4356138,"LOX",2,,
PMC4356138,"oct-2",1,,
PMC4356138,"UDP-glucosyltransferase",1,,
PMC4356138,"Isopentenyl diphosphate Delta-isomerase I",1,,
PMC4356138,"triosephosphate isomerase",1,,
PMC4356138,"aspartate aminotransferase",1,,
PMC4356138,"thioredoxin",1,,
PMC4356138,"cyclophilin",1,,
PMC4356138,"phosphoglycerate kinase",1,,
PMC4356138,"PEPCK",1,,
PMC4356138,"ribosomal protein S4",1,,
PMC4356138,"translation initiation factor 5A",1,,
PMC4356138,"junos",1,,
PMC4356138,"ATPase",1,,
PMC4356138,"lipocalin",1,,
PMC4356138,"Glucose phosphomutase",1,,
PMC4356138,"UDP-glucose pyrophosphorylase",1,,
PMC4356138,"acetyltransferase",1,,
PMC4356138,"catalase",1,,
PMC4356138,"glutathione reductase",1,,
PMC4356138,"IPP isomerase",1,,
PMC4356138,"UGT",1,,
PMC4356138,"Prenyltransferase",1,,
PMC4356138,"GPP",1,,
PMC4356138,"ppm",1,,
PMC4356138,"protease inhibitor",1,,
PMC4356138,"Glyceraldehyde 3-phosphate dehydrogenase",1,,
PMC4356138,"GAPDH",1,,
PMC4356138,"FGG",1,,
PMC4359887,"ACL",1,,
PMC4359887,"suds",1,,
PMC4359887,"Mash2",1,,
PMC4359887,"Tek",1,,
PMC4371224,"MIC",11,,
PMC4371224,"NMR",7,,
PMC4371224,"ANR",3,,
PMC4371224,"CAY",1,,
PMC4371224,"PGF",1,,
PMC4371224,"LTB",1,,
PMC4371224,"BDH",1,,
PMC4372811,"Arrestin-2",82,,
PMC4372811,"luciferase",24,,
PMC4372811,"Arrb2",10,,
PMC4372811,"PLC",9,,
PMC4372811,"M2L",8,,
PMC4372811,"M3L",7,,
PMC4372811,"GPCR",6,,
PMC4372811,"G protein",6,,
PMC4372811,"Glo",5,,
PMC4372811,"adenylyl cyclase",3,,
PMC4372811,"rhodopsin",2,,
PMC4372811,"G-protein coupled receptor",2,,
PMC4372811,"agglutinin",2,,
PMC4372811,"OMP",1,,
PMC4372811,"M2R",1,,
PMC4372811,"MAP kinases ERK1",1,,
PMC4372811,"plus",1,,
PMC4372811,"trypsin",1,,
PMC4372811,"serum albumin",1,,
PMC4372811,"streptavidin",1,,
PMC4372811,"Gly",1,,
PMC4372811,"HEK",1,,
PMC4372811,"Muscarinic Acetylcholine Receptor M3",1,,
PMC4372811,"ACIII",1,,
PMC4372811,"lectin",1,,
PMC4372811,"HET",1,,
PMC4372811,"FRP",1,,
PMC4372811,"FKBP",1,,
PMC4372811,"CD28",1,,
PMC4372811,"olfactory marker protein",1,,
PMC4387231,"GSHPx",5,,
PMC4387231,"myeloperoxidases",4,,
PMC4387231,"alkaline phosphatase",4,,
PMC4387231,"catalase",3,,
PMC4387231,"lipoxygenase",3,,
PMC4387231,"TNF",3,,
PMC4387231,"SSAT",3,,
PMC4387231,"superoxide dismutase",2,,
PMC4387231,"membrane proteins",2,,
PMC4387231,"iNOS",2,,
PMC4387231,"CYP1A1",2,,
PMC4387231,"IL-3",2,,
PMC4387231,"cytochrome c",2,,
PMC4387231,"NADH",2,,
PMC4387231,"aspartate aminotransferase",2,,
PMC4387231,"GST",2,,
PMC4387231,"warts",1,,
PMC4387231,"nitric oxide synthases",1,,
PMC4387231,"growth factor",1,,
PMC4387231,"cyclooxygenase-2",1,,
PMC4387231,"tumor necrosis factor",1,,
PMC4387231,"tert",1,,
PMC4387231,"glutathione peroxidase",1,,
PMC4387231,"cathepsin B",1,,
PMC4387231,"plus",1,,
PMC4389268,"ITI",15,,
PMC4389268,"Cre",10,,
PMC4389268,"recombinase",3,,
PMC4389268,"SERT",3,,
PMC4389268,"EF1",2,,
PMC4389268,"Sert",2,,
PMC4389268,"isn",2,,
